ts,cmd,ack
2025-10-08T17:25:58,SAFE:G1,ACK SAFE:G1
2025-10-08T17:26:01,SAFE:G2,ACK SAFE:G2
2025-10-08T17:26:04,SAFE:G1,ACK SAFE:G1
2025-10-08T17:26:07,SAFE:G2,ACK SAFE:G2
2025-10-08T17:26:10,SAFE:G1,ACK SAFE:G1
2025-10-08T17:26:13,SAFE:G2,ACK SAFE:G2
2025-10-08T17:26:16,SAFE:G1,ACK SAFE:G1
2025-10-08T17:26:19,SAFE:G2,ACK SAFE:G2
2025-10-08T17:26:22,SAFE:G1,ACK SAFE:G1
2025-10-08T17:26:25,SAFE:G2,ACK SAFE:G2
2025-10-08T17:33:21,SAFE:G1,ACK SAFE:G1
2025-10-08T17:33:24,SAFE:G2,ACK SAFE:G2
2025-10-08T17:33:27,SAFE:G1,ACK SAFE:G1
2025-10-08T17:33:30,SAFE:G2,ACK SAFE:G2
2025-10-08T17:33:33,SAFE:G1,ACK SAFE:G1
2025-10-08T17:33:36,SAFE:G2,ACK SAFE:G2
2025-10-08T17:33:39,SAFE:G1,ACK SAFE:G1
2025-10-08T17:33:42,SAFE:G2,ACK SAFE:G2
2025-10-08T17:33:45,SAFE:G1,ACK SAFE:G1
2025-10-08T17:33:48,SAFE:G2,ACK SAFE:G2
2025-10-08T17:35:50,SAFE:G1,ACK SAFE:G1
2025-10-08T17:35:53,SAFE:G2,ACK SAFE:G2
2025-10-08T17:35:57,SAFE:G1,ACK SAFE:G1
2025-10-08T17:36:00,SAFE:G2,ACK SAFE:G2
2025-10-08T17:36:04,SAFE:G1,ACK SAFE:G1
2025-10-08T17:36:07,SAFE:G2,ACK SAFE:G2
2025-10-08T17:36:11,SAFE:G1,ACK SAFE:G1
2025-10-08T17:36:14,SAFE:G2,ACK SAFE:G2
2025-10-08T17:36:17,SAFE:G1,ACK SAFE:G1
2025-10-08T17:36:21,SAFE:G2,ACK SAFE:G2
